Parent child age gap,Number of parental relationships
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,35547
16,35369
17,38577
18,43111
19,47812
20,53477
21,59108
22,65066
23,70097
24,74168
25,79293
26,82500
27,86138
28,90638
29,93765
30,97485
31,109102
32,111989
33,112807
34,114379
35,114745
36,114816
37,109851
38,104575
39,100567
40,95505
41,83136
42,70215
43,58237
44,47550
45,38935
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
